id,name,sku,category,brandName,ahCapacity,cca,warrantyMonths,sellingPrice_OUTPUT,isAGM,imagePath,popularFits,isScrapPrice,seoSubtitle
101,Willard 619,619,Standard Automotive,Willard,43,325,24,"R 1,450.00",FALSE,/images/willard-619-car-battery-alberton.jpg,"Toyota Tazz, VW Polo Vivo, Opel Corsa",TRUE,Car Battery in Alberton
102,Willard 652,652,Standard Automotive,Willard,70,590,24,"R 2,150.00",FALSE,/images/stock-battery.jpg,"Toyota Hilux (Petrol), Ford Ranger (Diesel)",TRUE,Car Battery in Alberton
103,Willard 669,669,Standard Automotive,Willard,80,590,24,"R 3,000.00",FALSE,/images/stock-battery.jpg,"Mercedes-Benz (Diesel), Commercial Trucks",TRUE,Car Battery in Alberton
104,Willard 668,668,Standard Automotive,Willard,80,590,24,"R 2,950.00",FALSE,/images/stock-battery.jpg,,TRUE,Car Battery in Alberton
105,Willard 657,657,Standard Automotive,Willard,70,590,24,"R 2,400.00",FALSE,/images/stock-battery.jpg,,TRUE,Car Battery in Alberton
106,Willard 651/647,651/647,Standard Automotive,Willard,60,460,24,"R 2,200.00",FALSE,/images/stock-battery.jpg,,TRUE,Car Battery in Alberton
107,Willard 616,616,Standard Automotive,Willard,35,280,24,"R 1,550.00",FALSE,/images/stock-battery.jpg,,TRUE,Car Battery in Alberton
108,Willard 628/9,628/9,Standard Automotive,Willard,50,335,24,"R 1,600.00",FALSE,/images/stock-battery.jpg,,TRUE,Car Battery in Alberton
109,Willard 658,658,Standard Automotive,Willard,90,630,24,"R 3,050.00",FALSE,/images/stock-battery.jpg,"Toyota Land Cruiser, Heavy Duty Bakkies",TRUE,Car Battery in Alberton
110,Willard 646,646,Standard Automotive,Willard,55,380,24,"R 1,900.00",FALSE,/images/stock-battery.jpg,"Nissan NP200, Renault Sandero, Toyota Yaris",TRUE,Car Battery in Alberton
111,Exide 636CS,636CS,Standard Automotive,Exide,47,345,24,"R 1,550.00",FALSE,/images/stock-battery.jpg,,TRUE,Car Battery in Alberton
112,Exide 610,610,Standard Automotive,Exide,35,280,24,"R 1,600.00",FALSE,/images/stock-battery.jpg,,TRUE,Car Battery in Alberton
113,Exide 646CE,646CE,Standard Automotive,Exide,58,451,24,"R 1,900.00",FALSE,/images/stock-battery.jpg,,TRUE,Car Battery in Alberton
114,Exide 628,628,Standard Automotive,Exide,48,385,24,"R 1,600.00",FALSE,/images/stock-battery.jpg,,TRUE,Car Battery in Alberton
115,Exide 616CS,616CS,Standard Automotive,Exide,38,270,24,"R 1,500.00",FALSE,/images/stock-battery.jpg,,TRUE,Car Battery in Alberton
116,Exide 622,622,Standard Automotive,Exide,52,400,24,"R 1,800.00",FALSE,/images/stock-battery.jpg,,TRUE,Car Battery in Alberton
117,Exide 668,668,Standard Automotive,Exide,85,715,24,"R 2,950.00",FALSE,/images/stock-battery.jpg,,TRUE,Car Battery in Alberton
118,Exide 619CE,619CE,Standard Automotive,Exide,42,314,24,"R 1,450.00",FALSE,/images/stock-battery.jpg,,TRUE,Car Battery in Alberton
